mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_learning_rate,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
38.03388730684916,0.19153411066068823,0.2176532745361328,0.0062136619378216655,gbdt,0.05,100,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 50}",0.9092737879702273,0.9125091441111924,0.9108997805413314,0.910894237540917,0.0013208344290284641,31
69.9378691514333,0.09758573342935936,0.3144532044728597,0.039560430579874406,gbdt,0.05,100,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 100}",0.9111025767634096,0.9136247256766642,0.9126371616678859,0.9124548213693199,0.0010377041240221116,20
46.742333809534706,0.2609046222557967,0.3438394069671631,0.0059029871962294166,gbdt,0.05,200,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 31}",0.9102064702547503,0.9126188734455011,0.9115764447695685,0.9114672628232733,0.0009878808334793246,25
71.57522614796956,0.385392387305578,0.43238433202107746,0.008655442813517442,gbdt,0.05,200,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 50}",0.910645379565114,0.9134052670080468,0.9128749085588881,0.9123085183773497,0.001195782324874068,22
125.280459801356,0.1494219537634528,0.5990446408589681,0.01314881148719371,gbdt,0.05,200,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 100}",0.9126021835738191,0.9149597659107535,0.9143013899049013,0.9139544464631579,0.000993252546832141,10
106.49772047996521,7.5554427594318865,1.0266319115956624,0.04133173362795278,gbdt,0.05,500,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 500, 'num_leaves': 31}",0.9123644410307054,0.9139356254572055,0.9143013899049013,0.9135338187976041,0.0008402496371465213,12
150.556871175766,0.47463106130864524,1.2298431396484375,0.07257419906433879,gbdt,0.05,500,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 500, 'num_leaves': 50}",0.913132532323842,0.9146671543525969,0.9143379663496708,0.9140458843420366,0.0006596716946950452,8
284.4930536746979,1.8006238655520368,2.1325852076212564,0.3054920505173348,gbdt,0.05,500,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.05, 'n_estimators': 500, 'num_leaves': 100}",0.9139920630566376,0.9153072421360644,0.9155267008046818,0.9149420019991279,0.0006776570040232064,1
21.13916540145874,0.1207457795553676,0.1651620864868164,0.0011628690812297,gbdt,0.1,100,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31}",0.9102247581426821,0.9123262618873446,0.9115581565471836,0.9113697255257368,0.0008682200890673614,27
33.992565075556435,0.030545051609266852,0.18375174204508463,0.004606793659181186,gbdt,0.1,100,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 50}",0.9108831221082277,0.9133686905632773,0.9126920263350402,0.9123146130021818,0.001049235675479646,21
60.182190338770546,0.21660716759940582,0.23447346687316895,0.005109253969979865,gbdt,0.1,100,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 100}",0.9125656077979554,0.9143928310168251,0.9139356254572055,0.9136313547573286,0.0007763683262459219,11
39.40053232510885,0.2222156778256399,0.3195074399312337,0.020424773698063784,gbdt,0.1,200,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 31}",0.9113037435306597,0.9139539136795903,0.912966349670812,0.9127413356270205,0.001093564186349169,16
58.590226888656616,0.6114313423787442,0.3738706906636556,0.018409157617468197,gbdt,0.1,200,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 50}",0.9123278652548417,0.9142831016825165,0.9136064374542795,0.9134058014638793,0.0008107315513409547,14
108.42733852068584,0.226661060947932,0.5503944555918375,0.021151427041098608,gbdt,0.1,200,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 200, 'num_leaves': 100}",0.9133154112031602,0.9148683247988295,0.91483174835406,0.9143384947853499,0.0007235834304292344,6
86.972904920578,0.3070288523510746,0.9373463789621989,0.01972473570184721,gbdt,0.1,500,31,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 500, 'num_leaves': 31}",0.9135531537462739,0.9152340892465253,0.9145391367959035,0.9144421265962341,0.0006896589848764638,4
146.67086172103882,1.2096290791222704,1.209894100824992,0.0828283411639935,gbdt,0.1,500,50,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 500, 'num_leaves': 50}",0.9132422596514329,0.9150146305779078,0.91483174835406,0.9143628795278002,0.0007959075144898043,5
370.45820848147076,1.402825946697465,1.6279226144154866,0.035384042158270915,gbdt,0.1,500,100,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'n_estimators': 500, 'num_leaves': 100}",0.9134251385307511,0.9153986832479883,0.9147951719092904,0.9145396645626768,0.0008257048265427248,3
